Timestamp,Event,Object,Distance,Alert_Level,Action
2025-12-12T06:34:48.978563,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-12T06:34:52.504581,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:34:54.011146,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-12T06:34:57.533431,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:34:59.111051,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-12T06:35:02.533981,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:35:04.176151,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-12T06:35:07.633777,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:35:09.243313,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-12T06:35:12.871441,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:35:14.316950,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-12T06:35:17.969271,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:35:19.413834,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-12T06:35:23.401161,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:35:24.443330,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-12T06:35:28.437612,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:35:29.511418,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-12T06:35:34.581203,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-12T06:35:35.421095,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:35:39.649181,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-12T06:35:40.551956,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-12T06:35:44.744275,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
