Timestamp,Event,Object,Distance,Alert_Level,Action
2025-12-07T18:51:54.998097,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:55.122829,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:55.250237,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:55.350231,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:55.449286,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:55.585601,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:55.727373,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:55.848337,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:55.989816,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:56.119262,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:56.250712,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:56.392753,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:56.515709,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:56.656655,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:56.747676,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:56.847263,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:56.950581,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:57.051717,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:57.149300,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:57.249379,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:57.350648,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:57.450226,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:57.548734,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:57.689406,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:57.817094,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:51:57.949233,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:51:58.050431,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:51:58.148430,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:51:58.251264,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:51:58.347167,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:51:58.451903,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:51:58.552492,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:51:58.647546,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:51:58.750236,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
