Timestamp,Event,Object,Distance,Alert_Level,Action
2025-12-07T18:47:33.739547,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:33.868377,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:34.002121,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:34.139243,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:34.283208,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:34.408651,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:34.539921,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:34.669407,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:34.801146,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:34.937277,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:35.071336,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:35.206699,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:35.375098,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:35.545740,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:35.710636,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:35.839346,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:35.967124,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:36.105909,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:36.239732,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:36.366520,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:36.505160,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:36.648714,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T18:47:36.817811,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:36.983204,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:37.138690,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:37.268318,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:37.402210,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:37.538435,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:37.670426,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:37.801803,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:37.935520,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:38.069525,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T18:47:38.199836,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
