Timestamp,Event,Object,Distance,Alert_Level,Action
2025-12-07T18:54:50.452830,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:50.606036,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:50.776631,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:50.939069,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:51.131535,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:51.280094,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:51.376276,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:51.515313,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:51.643292,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:51.776517,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:51.922544,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:52.047870,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:52.178532,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:52.277863,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:52.377920,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:52.511404,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:52.645841,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:52.741419,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:52.842753,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:52.943845,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:53.043330,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:53.145832,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:53.240967,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:53.378685,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:53.511334,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:53.646444,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:53.777707,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:53.916420,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.043833,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.146113,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.242796,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.342042,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.443146,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.543738,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.643657,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.742572,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.842927,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:54.943069,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:55.092541,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:55.208944,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:55.306884,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:55.451163,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:55.576727,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:55.718234,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:55.845698,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:55.940177,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:56.047688,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:56.144389,PEDESTRIAN_DANGER,person,2.8,CRITICAL,Emergency brake required
2025-12-07T18:54:56.242425,PEDESTRIAN_DANGER,person,2.8,CRITICAL,Emergency brake required
2025-12-07T18:54:56.342140,PEDESTRIAN_DANGER,person,2.8,CRITICAL,Emergency brake required
2025-12-07T18:54:56.442977,PEDESTRIAN_DANGER,person,2.8,CRITICAL,Emergency brake required
2025-12-07T18:54:56.542810,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:56.645188,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:56.743577,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:56.843350,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:56.977486,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:57.076828,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:57.175283,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:57.277709,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:57.374856,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:57.475188,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:57.575103,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:57.676786,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:57.775646,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:57.874807,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:57.974179,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:58.075368,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:58.094694,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:58.175652,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:58.194725,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:58.275951,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:58.413666,PEDESTRIAN_DANGER,person,2.6,CRITICAL,Emergency brake required
2025-12-07T18:54:58.433739,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:58.508668,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:58.527727,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:58.606370,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:58.625938,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:58.705500,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:58.725902,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:58.808421,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:58.827993,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:58.908881,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:58.928194,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:59.008710,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:59.028274,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:59.109128,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:59.129350,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:59.207504,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:59.226732,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:59.306613,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:59.326436,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:59.405357,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:59.424796,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:59.505950,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T18:54:59.525677,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T18:54:59.605092,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
