Timestamp,Event,Object,Distance,Alert_Level,Action
2025-12-07T19:34:02.815312,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:34:06.961058,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:07.915577,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:34:11.993591,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:12.949700,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:34:17.025997,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:18.004430,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:34:22.060933,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:23.114003,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:34:27.133272,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:28.135227,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:34:32.162860,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:33.139583,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:34:37.258889,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:38.143487,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:34:42.262300,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:43.244042,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:34:47.313676,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:48.341991,PEDESTRIAN_DANGER,person,1.9,CRITICAL,Emergency brake required
2025-12-07T19:34:52.831577,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:34:53.376420,PEDESTRIAN_DANGER,person,1.9,CRITICAL,Emergency brake required
2025-12-07T19:34:58.448650,PEDESTRIAN_DANGER,person,1.9,CRITICAL,Emergency brake required
2025-12-07T19:35:01.268020,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:35:03.540482,PEDESTRIAN_DANGER,person,1.9,CRITICAL,Emergency brake required
2025-12-07T19:35:06.348879,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:35:08.642767,PEDESTRIAN_DANGER,person,2.0,CRITICAL,Emergency brake required
2025-12-07T19:35:11.395805,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:35:13.676256,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:35:16.467509,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:35:18.747821,PEDESTRIAN_DANGER,person,2.0,CRITICAL,Emergency brake required
2025-12-07T19:35:21.501483,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:35:23.847031,PEDESTRIAN_DANGER,person,2.7,CRITICAL,Emergency brake required
2025-12-07T19:35:26.574618,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:35:28.908957,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:35:31.673648,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:35:33.927187,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:35:36.685983,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:35:38.948253,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
