Timestamp,Event,Object,Distance,Alert_Level,Action
2025-12-07T19:14:06.344256,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:14:08.403217,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:14:10.470764,PEDESTRIAN_DANGER,person,2.5,CRITICAL,Emergency brake required
2025-12-07T19:14:12.536859,PEDESTRIAN_DANGER,person,3.3,CRITICAL,Emergency brake required
2025-12-07T19:14:14.572169,PEDESTRIAN_DANGER,person,3.3,CRITICAL,Emergency brake required
2025-12-07T19:14:16.704748,PEDESTRIAN_DANGER,person,3.3,CRITICAL,Emergency brake required
2025-12-07T19:14:18.803919,PEDESTRIAN_DANGER,person,3.2,CRITICAL,Emergency brake required
2025-12-07T19:14:20.806542,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:14:22.872098,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:14:24.904037,PEDESTRIAN_DANGER,person,3.2,CRITICAL,Emergency brake required
2025-12-07T19:14:27.003307,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:14:29.006945,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:14:31.071147,PEDESTRIAN_DANGER,person,2.8,CRITICAL,Emergency brake required
2025-12-07T19:14:33.168526,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:14:35.268695,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:14:37.273405,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:14:37.715887,DROWSY_DRIVER,eyes_closed,0,CRITICAL,Wake up alert
2025-12-07T19:14:38.012534,INCIDENT_RECORDED,drowsiness,0,CRITICAL,Saved to incidents/drowsiness_20251207_191437.avi
2025-12-07T19:14:39.301470,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:14:41.302709,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:14:42.949127,DROWSY_DRIVER,eyes_closed,0,CRITICAL,Wake up alert
2025-12-07T19:14:43.230985,INCIDENT_RECORDED,drowsiness,0,CRITICAL,Saved to incidents/drowsiness_20251207_191442.avi
2025-12-07T19:14:43.341887,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:14:44.992613,DROWSY_DRIVER,eyes_closed,0,CRITICAL,Wake up alert
2025-12-07T19:14:45.255969,INCIDENT_RECORDED,drowsiness,0,CRITICAL,Saved to incidents/drowsiness_20251207_191444.avi
2025-12-07T19:14:45.735335,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:14:47.378925,DROWSY_DRIVER,eyes_closed,0,CRITICAL,Wake up alert
2025-12-07T19:14:47.645502,INCIDENT_RECORDED,drowsiness,0,CRITICAL,Saved to incidents/drowsiness_20251207_191447.avi
2025-12-07T19:14:47.736260,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:14:49.744256,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:14:50.316693,DROWSY_DRIVER,eyes_closed,0,CRITICAL,Wake up alert
2025-12-07T19:14:50.590589,INCIDENT_RECORDED,drowsiness,0,CRITICAL,Saved to incidents/drowsiness_20251207_191450.avi
2025-12-07T19:14:51.868667,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:14:53.869886,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:14:55.871622,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:14:57.872752,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:14:59.116997,DROWSY_DRIVER,eyes_closed,0,CRITICAL,Wake up alert
2025-12-07T19:14:59.359108,INCIDENT_RECORDED,drowsiness,0,CRITICAL,Saved to incidents/drowsiness_20251207_191459.avi
2025-12-07T19:15:00.171453,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:15:02.254469,PEDESTRIAN_DANGER,person,3.4,CRITICAL,Emergency brake required
2025-12-07T19:15:04.355128,PEDESTRIAN_DANGER,person,3.1,CRITICAL,Emergency brake required
2025-12-07T19:15:06.490468,PEDESTRIAN_DANGER,person,3.0,CRITICAL,Emergency brake required
2025-12-07T19:15:08.608544,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:15:10.616171,PEDESTRIAN_DANGER,person,3.8,CRITICAL,Emergency brake required
2025-12-07T19:15:12.622444,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:15:12.660357,DROWSY_DRIVER,eyes_closed,0,CRITICAL,Wake up alert
2025-12-07T19:15:12.938403,INCIDENT_RECORDED,drowsiness,0,CRITICAL,Saved to incidents/drowsiness_20251207_191512.avi
2025-12-07T19:15:14.749122,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:15:18.953525,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:15:21.013372,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:15:23.047522,PEDESTRIAN_DANGER,person,2.9,CRITICAL,Emergency brake required
2025-12-07T19:15:25.146552,PEDESTRIAN_DANGER,person,2.9,CRITICAL,Emergency brake required
2025-12-07T19:15:27.146704,PEDESTRIAN_DANGER,person,2.9,CRITICAL,Emergency brake required
2025-12-07T19:15:29.267407,PEDESTRIAN_DANGER,person,3.1,CRITICAL,Emergency brake required
2025-12-07T19:15:41.552644,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:15:43.654283,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:15:45.745281,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:15:47.847883,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:15:49.913604,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:15:52.017649,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:15:54.113251,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:15:56.146569,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:15:58.179803,PEDESTRIAN_DANGER,person,3.1,CRITICAL,Emergency brake required
2025-12-07T19:16:00.245459,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:16:01.768827,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:16:02.343992,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:16:04.446872,PEDESTRIAN_DANGER,person,3.1,CRITICAL,Emergency brake required
2025-12-07T19:16:06.447270,PEDESTRIAN_DANGER,person,3.8,CRITICAL,Emergency brake required
2025-12-07T19:16:08.451092,PEDESTRIAN_DANGER,person,3.1,CRITICAL,Emergency brake required
2025-12-07T19:16:10.489102,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:16:12.620389,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:16:14.692072,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
