Timestamp,Event,Object,Distance,Alert_Level,Action
2025-12-07T19:30:05.632503,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:30:10.640325,PEDESTRIAN_DANGER,person,2.0,CRITICAL,Emergency brake required
2025-12-07T19:30:11.528982,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:30:15.706450,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:30:16.534406,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:30:20.773658,PEDESTRIAN_DANGER,person,2.1,CRITICAL,Emergency brake required
2025-12-07T19:30:21.596860,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:30:25.854969,PEDESTRIAN_DANGER,person,2.0,CRITICAL,Emergency brake required
2025-12-07T19:30:26.676204,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:30:30.907870,PEDESTRIAN_DANGER,person,1.9,CRITICAL,Emergency brake required
2025-12-07T19:30:31.764774,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:30:35.975764,PEDESTRIAN_DANGER,person,2.0,CRITICAL,Emergency brake required
2025-12-07T19:30:36.798374,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:30:41.075326,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:30:41.901001,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:30:46.076504,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:30:46.999567,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:30:51.077400,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:30:52.096108,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:30:56.077895,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:30:57.100533,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:01.177837,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:31:02.198771,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:06.178651,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:31:07.299339,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:11.180134,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:31:12.400287,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:16.279514,PEDESTRIAN_DANGER,person,2.4,CRITICAL,Emergency brake required
2025-12-07T19:31:17.400315,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:21.280637,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:31:22.402629,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:26.281453,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:31:27.501703,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:31.282681,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:31:32.504618,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:36.382497,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:31:37.602192,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:41.384373,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:31:42.602858,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:46.386648,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:31:47.605571,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:51.386727,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:31:52.607200,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:31:56.386792,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:31:57.707659,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:32:01.488620,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:32:02.708808,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:32:06.491874,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
2025-12-07T19:32:07.814122,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:32:17.016404,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:32:17.087699,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:32:22.026540,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:32:22.139399,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:32:27.230572,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:32:27.254069,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:33:15.496041,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:33:15.598389,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:33:20.731879,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:33:21.015805,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:33:25.758906,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:33:26.083017,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:33:30.767182,PEDESTRIAN_DANGER,person,2.2,CRITICAL,Emergency brake required
2025-12-07T19:33:31.154257,DISTRACTED_DRIVER,no_face,0,WARNING,Focus on road
2025-12-07T19:33:35.767572,PEDESTRIAN_DANGER,person,2.3,CRITICAL,Emergency brake required
